"bwght","mage","meduc","fage","feduc"
2890,24,12,37,10
3350,30,16,27,16
3425,26,12,27,12
3540,34,16,32,16
3050,29,16,32,16
4010,26,12,26,9
2980,35,16,37,16
3560,27,9,29,12
3010,28,16,31,16
3459,20,12,22,11
3650,28,16,36,12
3232,20,13,20,13
2710,32,13,33,10
3799,22,12,22,11
2825,27,12,30,11
3690,23,13,27,13
4224,34,13,25,12
3060,32,14,37,12
2770,33,12,33,16
4150,31,16,40,16
3535,28,13,28,14
3380,37,12,40,16
3760,33,12,34,12
3790,26,16,28,16
3090,27,11,29,12
3000,34,16,33,16
3150,35,12,35,9
3340,30,12,30,13
2010,31,12,30,14
4111,30,17,32,10
2920,28,17,34,17
3884,34,12,31,12
3430,23,12,25,13
3080,38,14,35,16
3721,27,12,29,12
3380,27,12,29,13
3655,36,16,40,16
3303,40,12,41,17
3162,29,16,32,16
3690,29,13,28,12
2977,33,12,39,17
3690,27,13,24,16
2700,25,16,31,16
3140,29,7,27,7
3700,34,13,36,16
3590,36,16,37,16
3203,25,14,26,17
4536,22,12,26,12
3402,31,16,31,16
3590,33,14,36,12
3889,31,14,39,12
2860,23,12,28,12
3912,25,12,31,9
3374,22,12,21,12
4564,28,16,29,17
3460,31,12,29,12
3730,29,14,29,16
4167,33,12,39,17
3530,19,11,25,12
3827,29,12,29,12
3210,26,15,31,17
2850,22,11,20,12
3380,26,16,30,16
3459,26,16,29,16
3690,27,16,30,16
3430,29,12,29,12
4338,34,12,38,13
3104,34,16,33,12
3230,28,16,35,16
3742,28,12,35,11
3600,39,14,39,17
3315,25,12,35,14
3000,23,11,23,11
4259,27,12,36,12
1280,28,14,35,12
2970,26,16,27,12
3450,39,13,43,16
3390,33,13,32,13
4535,32,6,41,6
2720,38,12,32,9
3700,30,16,34,12
3374,29,12,28,12
3090,32,13,28,13
3040,28,16,29,12
3840,23,13,33,12
4680,24,15,27,12
2960,23,13,26,16
4980,27,12,29,12
3600,33,16,33,16
3000,31,12,35,12
2665,32,15,30,16
2778,29,12,28,12
3800,25,14,30,16
2950,29,12,30,12
3920,25,12,26,12
3795,34,13,28,16
3580,20,12,20,12
3490,21,12,20,12
3220,28,16,31,12
4564,20,11,18,9
3195,29,12,29,12
3685,38,5,32,10
3582,29,16,27,16
4110,18,11,19,12
2920,28,14,47,17
2906,33,12,39,14
4010,28,16,30,16
3195,36,14,31,16
3330,22,13,24,12
3856,30,16,36,17
3245,29,12,34,12
3390,26,16,28,12
3692,32,16,32,17
3440,29,16,31,16
3742,18,12,20,12
2637,29,12,30,12
3600,33,12,40,14
3030,18,12,18,10
3550,37,16,41,16
3345,19,12,22,12
2470,36,16,38,16
3520,31,16,33,16
3742,26,12,29,14
4300,30,12,30,16
3480,32,16,32,16
3402,27,12,28,15
3629,25,12,39,8
3005,29,12,24,12
3515,36,12,35,16
3965,22,12,26,12
3572,25,14,26,13
3130,31,14,35,12
3685,30,12,28,12
3459,28,16,32,16
3810,39,16,38,16
3380,31,16,32,12
3345,27,16,27,16
3260,22,12,34,12
3742,31,17,35,17
3530,28,16,28,16
3150,28,12,29,12
3450,24,14,25,12
3340,39,14,41,12
3920,28,14,28,13
3140,30,12,31,12
2900,27,12,26,12
2640,27,14,29,14
3290,32,12,34,12
3490,35,16,36,16
3360,25,16,30,12
3883,30,16,31,16
3600,23,13,24,12
3890,26,12,28,12
3629,21,12,25,10
4310,30,16,38,16
2975,38,16,37,12
3150,28,13,26,13
3912,28,13,31,12
2050,18,12,21,12
3760,29,12,29,12
3210,31,16,38,16
4054,30,12,33,12
3890,39,12,39,12
4054,34,16,34,12
3030,26,16,27,12
2885,31,12,46,12
3565,33,17,33,12
3770,29,16,28,16
3572,25,12,31,12
3685,35,16,42,17
3455,32,16,36,14
3147,34,16,39,12
2410,31,13,32,13
3345,32,12,33,12
3515,40,14,44,17
3120,31,17,33,15
3750,18,12,20,12
3010,37,14,36,16
3240,33,14,41,16
2948,24,12,23,12
2890,34,12,34,12
3450,29,12,32,10
3540,30,14,33,14
4090,22,12,31,12
4030,26,12,22,9
3912,30,16,29,16
2780,25,12,25,12
2665,26,12,25,12
3650,21,13,23,14
2750,19,12,19,11
4430,37,13,41,16
3275,34,16,34,16
3475,32,10,31,12
3650,28,12,35,16
3085,28,16,28,15
3686,29,12,29,12
3515,29,15,32,16
3680,32,12,37,12
3480,27,15,32,15
3714,38,16,37,17
2877,33,14,38,12
3317,27,14,31,14
3435,36,12,36,16
2990,32,12,40,16
2637,38,16,41,12
3490,30,15,36,16
3317,30,16,33,12
1984,19,11,26,8
3170,36,16,36,16
3700,32,12,34,12
3685,38,16,38,16
3515,26,12,26,12
2860,20,10,22,11
3290,26,16,28,16
4200,22,12,25,12
2840,29,12,29,12
2670,29,16,29,12
3620,36,14,36,14
5204,30,14,30,16
3799,26,14,28,16
3209,26,12,25,12
3437,30,16,32,17
3730,28,16,31,16
3690,28,16,29,16
3710,29,16,32,16
2778,34,12,34,12
2980,32,16,41,12
2625,25,13,32,12
4190,30,14,30,12
2470,32,16,35,16
3210,28,15,34,16
3402,33,14,34,11
3600,26,11,26,16
3490,32,12,33,12
4295,32,17,32,17
3180,22,13,27,16
3785,23,12,31,12
2890,28,10,30,11
2580,25,14,27,17
2948,30,12,26,11
3940,31,12,36,12
3430,26,14,26,14
3640,35,16,33,16
3310,25,12,26,12
3700,34,17,36,16
3510,23,12,24,12
3997,27,12,30,12
3150,27,12,30,12
3295,27,12,30,12
3900,38,17,44,12
3856,23,12,28,12
3430,36,16,34,17
3040,23,12,24,12
681,29,12,31,16
2835,34,17,35,16
3870,20,12,19,12
2350,19,11,18,12
2920,29,12,36,12
3550,29,12,29,12
2550,30,16,32,16
3430,33,16,32,16
3430,35,12,35,12
4100,40,14,33,12
3730,29,16,27,16
2845,28,11,29,12
3062,25,13,28,13
4560,29,16,35,16
4054,25,14,30,12
3600,35,14,37,16
2340,29,12,27,16
3130,33,15,35,16
3015,22,13,25,16
3402,32,12,26,12
3180,24,12,29,11
2920,19,12,20,12
3289,24,12,26,12
4180,29,15,31,15
3860,30,16,31,16
3560,26,14,29,14
4082,25,14,26,12
3115,25,16,33,16
3180,30,16,27,12
3985,32,16,31,16
2990,30,16,31,15
4110,17,11,18,10
2710,26,12,28,14
3629,36,16,38,12
3945,37,12,38,12
3317,33,14,35,16
3827,28,12,28,12
3030,20,12,20,12
3230,35,12,37,16
3760,28,12,33,16
3570,27,16,28,16
2630,22,12,28,12
4210,28,16,33,16
3050,29,15,33,12
3175,23,12,28,12
2665,22,13,22,15
2977,29,12,29,14
2640,20,12,20,15
3105,29,16,33,12
3317,28,12,31,16
2785,28,13,30,16
4026,26,16,28,17
3660,33,14,33,15
4350,30,17,34,17
3790,26,12,29,12
360,33,12,31,11
3580,38,16,39,14
3572,33,14,35,11
4815,34,14,39,12
3030,30,12,30,14
4183,36,16,41,16
3585,27,12,31,12
3165,29,16,33,17
2860,31,17,31,16
3880,34,12,40,12
3098,30,16,31,16
3200,28,14,30,12
2637,38,16,37,17
4340,33,12,33,12
3920,27,13,29,16
3360,36,16,35,16
3550,27,14,36,12
3005,29,13,27,12
3289,27,12,24,12
3941,31,13,30,12
3335,32,16,40,12
3629,30,12,37,13
2790,31,14,39,13
4621,20,10,20,8
3799,21,13,23,14
3750,32,12,32,12
3600,29,14,32,12
3742,29,17,46,17
3374,39,16,39,16
3005,28,17,31,17
3232,32,12,34,12
3459,28,14,27,14
3670,35,16,36,16
3714,24,12,27,12
3600,32,16,33,16
3260,30,12,36,12
1956,35,12,37,12
4080,25,16,29,12
2722,31,12,39,10
2892,42,17,42,7
5160,32,17,25,13
3590,36,12,38,12
3630,36,16,33,12
3180,31,16,32,12
2835,22,11,24,12
4270,27,12,22,12
1660,22,9,23,11
3119,20,13,23,16
3545,29,16,34,16
4690,24,10,30,6
5018,28,14,30,16
3370,27,16,25,14
3240,30,16,38,16
3740,37,16,36,17
3180,28,15,27,12
4130,21,12,27,12
3010,30,14,30,12
3374,29,12,33,12
3540,37,17,36,12
3820,32,17,33,17
3345,26,17,27,16
4082,31,16,34,16
3280,31,12,31,12
4545,38,16,39,16
3200,27,12,32,14
3940,28,16,30,16
3925,28,12,27,12
3400,31,12,32,13
3147,29,16,34,17
3260,36,17,47,16
3100,23,12,31,12
3925,31,13,38,16
3915,30,12,38,12
4082,37,12,42,16
3647,28,16,29,15
3915,29,14,33,12
2610,41,16,31,17
3600,28,12,24,12
3599,28,17,29,12
3790,29,16,31,12
3990,29,12,29,16
3320,29,16,30,16
3450,26,16,29,16
4224,27,14,48,16
3950,31,16,35,16
3459,28,16,31,14
3941,23,12,26,12
3800,23,12,23,10
3280,38,12,44,12
3650,28,16,28,14
2552,34,12,35,12
3345,21,14,22,10
4618,32,16,37,16
3345,29,17,32,16
2608,20,12,21,12
3317,23,12,25,12
3390,34,16,37,16
3119,35,13,36,12
3289,33,17,39,17
3827,31,14,33,14
2800,31,11,32,8
3714,26,14,29,14
2780,28,16,35,16
3210,29,16,28,16
2926,33,16,37,17
3700,28,12,29,14
3800,29,NA,32,16
3785,28,14,37,14
2268,30,14,28,12
3460,36,12,31,16
3620,29,12,38,16
4224,37,17,40,17
2720,32,12,38,13
2608,31,16,31,14
4423,22,13,23,14
3544,22,10,24,12
3940,30,14,35,12
2835,25,14,32,17
3080,31,12,37,12
3620,36,16,36,16
3970,21,15,24,12
2460,23,12,36,16
2220,34,13,34,14
3500,30,17,34,13
3435,24,13,28,17
3270,26,16,31,16
3550,29,17,36,12
4120,29,13,28,13
4139,37,15,32,15
2810,32,16,31,16
3384,27,16,32,16
1531,30,16,33,12
2420,36,16,28,14
2835,27,16,30,14
3657,24,16,26,16
2863,38,12,33,16
3960,31,14,34,14
3175,32,14,36,12
3147,33,12,34,12
3630,32,17,33,17
3430,33,12,39,12
3460,24,12,29,12
3775,37,12,34,14
3871,28,14,29,14
3710,24,16,24,14
2850,41,14,45,16
4315,29,16,30,13
2995,28,12,41,12
3180,32,16,32,16
3440,32,15,31,16
3714,26,15,27,14
4480,39,16,42,12
3374,22,12,21,14
3345,31,11,36,16
3580,24,12,22,12
3040,20,12,21,11
3600,35,17,40,17
2977,28,12,29,12
3130,26,13,25,14
3005,35,14,37,16
3340,32,13,34,16
2830,35,12,36,16
3374,27,12,30,12
2900,22,12,24,13
2750,38,13,39,16
3600,32,16,36,16
3147,34,12,31,14
3810,33,16,36,17
4260,23,12,25,12
3515,34,14,44,17
3997,22,10,23,13
3150,34,12,31,16
3100,36,16,43,16
4111,25,16,32,17
3430,22,14,23,14
3860,35,12,31,12
3870,32,16,50,16
3720,30,16,28,16
4320,24,12,35,15
3115,17,9,20,10
3000,23,16,28,17
3941,35,16,32,14
2955,31,16,33,16
3410,28,16,29,16
2920,33,16,32,14
2330,25,15,25,15
3200,29,16,33,16
2580,35,14,34,14
3470,35,16,38,16
3365,28,16,28,16
3030,40,12,41,14
4690,30,16,30,13
3586,35,14,36,16
3830,26,16,30,14
2970,29,14,30,14
3440,31,16,30,14
2799,23,12,32,11
2585,23,12,26,14
3050,26,16,24,16
4394,26,12,37,14
3240,31,14,33,14
3685,30,16,33,12
3459,25,16,31,16
3500,32,16,33,17
4147,28,16,33,16
3840,32,16,31,16
3680,24,12,25,12
3190,36,16,40,14
3997,34,16,31,16
3565,35,14,36,14
3080,34,16,37,16
3289,31,14,32,12
3850,28,16,26,17
3622,28,14,31,17
3805,30,12,28,13
3190,31,12,35,12
4111,35,12,31,14
3630,29,16,31,14
3957,28,13,34,12
4167,27,12,31,12
3969,26,14,33,14
4310,28,12,27,12
3290,26,12,28,12
2807,25,12,36,15
3000,27,14,29,15
3215,35,16,37,16
3110,29,16,34,16
3300,24,12,24,12
3455,37,12,47,12
4660,35,14,52,16
3686,20,13,24,15
3080,20,12,25,12
3516,29,16,34,17
3115,26,12,28,12
3720,25,12,25,16
3580,32,13,32,13
3575,34,12,38,12
2750,29,12,29,12
3630,30,12,30,12
3494,26,12,27,12
3175,19,11,19,11
2540,31,16,32,12
4167,30,17,29,12
3033,26,12,29,12
1843,29,14,31,12
3470,43,16,43,17
3487,31,12,35,16
3314,29,12,37,12
3340,24,14,29,12
2870,29,14,31,14
2240,30,12,36,12
4020,32,8,34,12
2870,37,12,36,12
3941,32,16,34,16
4147,33,6,43,6
3840,40,14,43,16
4050,31,12,30,12
3317,26,16,27,16
3345,26,12,29,12
2030,38,16,36,16
2920,34,12,36,12
3119,28,12,35,12
4309,27,14,29,12
3305,36,16,38,16
3260,27,12,25,12
4224,33,16,35,17
2540,27,16,26,17
3610,37,16,34,12
3402,35,16,37,16
2980,24,10,26,11
3969,31,12,33,12
2678,36,12,39,14
2530,29,14,37,16
3685,34,16,30,16
3669,33,12,27,16
4380,37,16,37,14
3970,25,13,28,12
3470,35,14,35,13
3544,31,12,37,12
3788,33,14,40,12
4082,27,12,30,12
3800,31,16,33,16
2855,29,10,26,12
3090,25,14,30,14
3385,30,9,27,9
2920,30,17,37,17
3345,29,16,32,16
2750,27,12,37,10
2180,27,12,30,16
2885,38,13,40,14
4600,25,16,33,12
2960,39,12,41,14
3416,39,13,41,13
3700,26,14,28,16
4120,21,12,23,12
3799,28,12,25,12
2450,32,12,38,16
2465,25,16,29,17
3020,35,12,42,12
3110,40,16,53,16
3660,37,16,40,16
4250,27,16,36,16
3044,29,13,36,12
3950,32,16,33,16
3325,27,14,29,12
3629,31,12,33,15
3770,31,14,32,13
3600,24,12,26,10
2950,34,16,42,16
3820,27,14,32,12
2880,33,12,30,12
3544,29,13,30,16
3615,31,12,32,14
1290,20,12,33,11
3560,33,12,35,12
2523,27,12,27,16
737,31,16,32,16
3232,28,16,31,16
3572,35,16,32,16
3300,28,12,27,12
3210,28,16,27,16
2990,29,12,33,16
3799,39,13,40,15
3190,29,16,30,16
3402,32,16,30,16
3398,38,16,41,16
3490,30,12,31,12
2620,28,12,28,12
3671,29,16,28,12
4550,27,12,27,12
2835,37,12,35,10
3180,24,12,26,16
3540,24,10,29,11
2945,22,12,27,12
3140,30,17,32,17
3910,30,12,31,12
3750,29,16,29,16
2870,26,12,23,12
3345,21,13,25,12
3345,24,15,27,16
3799,33,12,36,12
3686,35,17,36,16
3459,29,12,33,12
3090,30,12,29,12
3289,20,12,19,13
3490,34,11,34,9
2960,42,16,48,16
2953,30,13,26,13
2885,22,12,27,16
3950,36,17,32,17
3575,22,14,24,12
3870,28,12,31,12
3150,22,12,31,12
4030,37,12,41,14
3657,27,12,25,12
3350,29,15,36,14
3374,32,16,33,14
3459,29,14,33,12
3402,32,16,33,16
2551,31,13,43,15
3005,23,13,33,16
3266,23,12,27,12
3140,28,12,32,12
3820,30,12,27,12
4070,29,14,34,12
2730,38,12,43,12
3880,30,12,36,12
3586,25,12,24,9
3771,25,12,35,12
3629,30,12,34,16
3459,16,11,21,12
3600,32,16,38,16
3572,32,12,30,12
3540,35,6,42,6
4508,35,12,32,12
2948,30,14,37,16
4250,32,16,36,16
3205,29,16,34,12
3430,33,12,32,14
2890,32,12,33,12
3470,37,16,35,16
4130,21,12,21,11
3160,29,13,31,12
4423,33,16,35,17
4337,38,14,41,14
3289,24,12,30,12
3976,27,12,28,12
4130,29,10,28,10
3572,29,12,32,12
4026,37,17,36,16
3150,23,13,24,16
3320,28,12,28,12
3760,24,14,27,17
3118,31,13,33,12
4180,25,13,27,12
3370,30,12,32,12
4508,24,12,30,16
3572,32,14,42,12
3810,25,12,31,12
2840,34,12,31,12
3345,29,16,30,16
3730,32,14,31,12
3770,29,16,29,14
3260,33,12,30,12
3370,22,12,25,12
3675,39,12,39,12
4170,31,13,35,16
2665,21,12,24,12
3657,34,17,33,16
2770,36,14,46,12
3245,28,12,29,8
4153,34,16,33,16
3359,32,14,30,12
2722,30,13,30,12
3738,40,12,55,12
2778,26,12,30,12
3530,30,14,29,16
1540,27,13,28,12
3260,28,12,28,12
3560,28,12,29,16
2736,31,12,34,12
4315,28,16,27,16
3080,44,16,43,16
3990,34,12,34,12
3210,38,14,42,16
4210,23,12,26,14
3192,28,16,25,16
3988,33,12,36,12
3960,35,13,38,16
3345,34,13,31,12
2183,26,16,29,16
3060,39,12,41,7
2920,33,14,34,14
4394,28,15,33,16
1099,23,12,19,12
3920,32,12,46,17
3147,28,12,25,14
3300,26,13,29,12
3487,26,12,27,14
2637,28,12,34,12
3490,29,16,30,16
2030,35,13,33,12
4520,38,16,40,16
3700,32,13,33,13
3728,29,16,26,16
4070,31,16,30,16
3800,31,13,31,14
3517,24,14,23,16
3125,37,10,40,11
4196,35,17,34,16
3629,28,12,25,16
3070,40,14,41,17
3960,30,16,32,17
2746,32,16,33,16
3572,20,14,23,16
3830,29,16,30,12
3600,37,16,37,16
3317,37,12,37,12
3200,31,12,33,12
4380,29,12,33,12
3290,23,13,26,14
4545,31,12,35,12
3450,29,16,26,14
3459,31,12,33,12
3920,28,16,28,16
3345,34,17,26,16
3060,32,16,31,13
3818,25,12,24,12
3325,30,14,31,16
4083,30,14,30,13
2905,27,12,35,16
4110,32,12,35,14
3235,27,12,31,12
3300,31,16,35,16
3404,35,16,39,16
3960,28,16,29,12
3150,22,12,27,12
3530,28,14,29,16
3980,36,17,41,17
3120,24,12,32,17
2574,35,11,28,11
4987,32,17,29,16
3670,33,14,37,12
3490,33,16,31,16
3459,22,6,21,12
3090,32,16,32,16
3232,21,13,24,16
3487,33,16,37,16
4120,22,12,23,12
2835,24,13,24,14
1500,28,12,30,14
3657,40,16,44,16
3200,32,12,31,12
3600,18,11,20,12
3630,29,10,30,12
3375,26,13,28,16
3770,26,12,40,16
3750,28,9,28,15
3742,28,12,32,17
3657,29,8,41,8
3459,37,16,39,17
3910,32,13,44,14
3175,33,16,36,16
3374,26,11,27,12
3810,30,16,33,16
3770,31,16,34,16
5089,27,16,37,16
3200,27,12,31,12
3118,34,16,37,17
4167,25,12,40,12
3969,32,11,35,14
3680,28,12,28,12
3130,31,17,32,17
3330,30,14,33,12
3076,31,13,30,12
4295,29,16,29,16
2625,23,12,23,14
2955,28,7,40,6
3690,32,14,35,16
3650,26,13,30,14
4010,39,16,44,16
4020,26,12,38,12
2381,33,12,34,12
4430,30,12,32,14
3052,29,16,28,12
3090,21,14,25,16
3652,34,16,41,17
3100,34,16,35,16
3232,31,16,29,12
3180,29,16,31,16
2740,36,16,32,14
3230,33,17,37,17
2430,33,13,31,16
2280,35,16,34,16
2537,30,17,32,17
2892,26,12,30,10
2487,30,14,31,14
2550,28,13,33,17
1934,25,15,28,12
2910,29,16,29,16
2970,32,16,33,17
3128,27,12,33,14
2360,28,16,29,16
2722,29,12,36,13
3060,22,12,24,12
2892,28,12,27,12
3560,38,14,38,15
2023,26,12,26,13
3771,26,12,26,16
1899,37,14,41,16
3420,29,16,31,16
2300,38,14,38,15
2117,32,16,32,12
3175,33,16,32,12
3190,28,12,29,12
1660,24,12,25,12
2950,30,14,31,14
3190,32,16,32,17
3390,26,12,27,12
1786,28,16,32,12
2690,33,16,37,17
2470,21,9,28,12
2325,25,12,29,12
1630,23,12,27,12
2775,31,12,29,11
2565,33,14,36,14
2050,32,16,31,16
3190,27,12,31,12
3742,25,13,34,16
2750,29,16,37,16
3000,27,16,33,16
2215,30,17,32,17
3020,27,12,36,8
2220,23,12,27,12
1490,22,12,25,12
2148,31,12,32,14
3740,34,12,36,16
3140,25,15,28,12
2470,36,13,38,16
1750,40,16,34,13
2080,29,15,28,14
1619,31,14,30,12
3100,35,16,37,12
2580,37,16,34,16
2100,33,15,41,13
