"income","exper","educ","motheduc","IQ"
48100,9,12,8,93
72100,16,12,12,103
25000,10,11,12,88
72900,16,12,7,108
50000,8,12,12,85
56500,9,18,14,119
60800,9,14,14,108
42500,10,12,12,96
51500,11,12,12,97
22500,13,9,12,84
40000,8,12,6,89
41700,7,11,6,93
21700,13,11,6,74
89400,9,16,8,116
34600,16,12,8,93
65800,9,14,12,100
57500,10,10,8,91
64900,14,12,8,88
61400,10,18,8,114
72600,11,15,14,111
69300,14,12,12,95
140000,10,18,13,132
180000,8,18,16,109
41300,7,12,12,108
63200,9,14,16,102
20800,7,12,12,106
45700,7,12,11,104
82400,2,16,10,119
57700,10,18,12,122
25500,11,11,10,90
96200,8,16,12,118
94400,15,10,6,105
114600,10,18,11,115
23500,7,11,12,65
100000,16,12,10,120
48100,11,9,12,86
62400,11,15,12,109
65000,17,11,10,72
35300,6,12,11,101
65900,6,13,12,105
62100,5,17,10,136
44000,7,12,11,101
73800,8,12,10,96
70500,9,12,8,101
42500,9,12,12,91
53800,8,16,12,115
74000,10,16,12,113
67300,13,13,12,123
76900,16,12,10,95
59200,6,12,10,102
156300,12,16,12,145
77400,6,16,11,114
60000,8,12,9,113
57000,12,13,12,93
53800,7,15,12,119
62700,7,12,9,108
54500,8,12,11,72
57600,7,12,9,86
70000,3,16,12,123
78800,6,16,12,103
101200,4,17,12,101
60100,9,14,16,105
50000,8,12,12,95
55000,14,11,6,98
81000,7,18,8,115
31300,10,12,9,60
73100,1,18,4,135
62500,3,16,10,132
58800,4,14,12,106
37500,6,14,12,113
81700,7,16,11,102
86500,10,14,12,91
35000,7,15,12,104
50500,13,13,16,97
81600,7,17,13,125
62500,2,18,12,123
76900,8,18,16,128
50000,4,17,17,133
61900,4,17,8,114
65000,12,12,8,103
76900,4,18,12,130
51200,8,12,12,97
62500,7,18,13,132
111100,11,14,12,98
72100,9,13,12,108
115400,12,14,12,107
82700,10,18,18,129
107600,5,17,17,132
62500,15,12,8,101
46000,8,13,8,92
90000,4,14,12,108
68200,5,18,9,132
62500,8,13,15,106
100500,8,18,12,123
72500,7,11,11,109
75000,6,15,11,103
52900,9,14,8,108
97200,6,17,12,122
47200,8,12,12,109
32500,6,12,12,102
87500,16,12,12,109
62500,15,13,10,100
33700,8,12,10,93
48100,5,16,5,115
96200,6,18,14,125
61500,7,16,12,106
70200,8,14,12,113
63500,11,14,12,122
81700,9,12,10,116
57700,6,14,12,116
46600,3,17,12,105
79300,9,16,12,112
63500,8,14,12,113
70500,7,16,12,94
63500,8,14,9,103
69400,12,12,12,102
61500,15,13,12,109
46200,4,16,10,130
86500,16,12,12,105
73700,9,18,12,134
80800,13,12,7,105
65400,4,16,12,104
30000,7,12,12,112
57700,8,16,10,115
59400,7,18,8,117
32500,3,17,8,114
38500,2,16,8,118
100000,1,18,12,107
46500,4,18,11,120
44000,6,16,18,131
62500,5,16,17,124
28500,4,17,12,121
65000,7,14,12,110
80800,6,13,12,103
83100,4,16,12,115
50000,13,12,6,96
69300,9,17,12,123
110000,9,12,10,101
76300,7,12,12,98
33300,3,16,8,108
40900,6,18,12,138
86500,5,16,12,121
88800,13,12,12,96
67300,16,12,12,89
25000,9,18,16,133
62500,10,11,9,84
57600,9,13,12,98
61300,8,12,9,85
70000,13,12,9,105
45000,6,12,9,93
50000,6,16,12,115
25000,3,16,12,146
37500,11,12,12,82
45700,13,15,12,120
95100,10,12,12,122
28900,3,16,14,128
72600,8,18,12,114
126500,5,18,12,117
61300,3,17,18,109
54500,10,12,11,91
27800,9,13,8,107
144200,10,18,12,114
99500,5,16,12,126
70000,11,12,11,82
57700,6,16,12,119
85800,9,16,12,104
63300,14,13,8,83
68900,14,12,12,97
76900,10,14,8,119
38500,6,15,14,105
61500,9,12,12,114
68200,16,12,8,93
80000,16,11,8,96
102600,6,18,16,117
76900,4,15,12,113
29000,16,10,14,106
52900,9,13,8,104
47500,8,12,12,104
45000,8,12,12,102
30000,7,13,16,122
38500,12,12,12,96
128200,11,15,16,95
58800,3,16,12,117
60000,9,12,16,105
44000,15,12,8,94
46700,2,18,16,139
92900,6,17,12,91
55600,5,16,12,96
43800,5,13,12,114
60000,11,12,10,54
57500,8,12,10,69
38900,8,12,10,67
47100,3,18,16,125
20200,3,17,16,124
35000,1,17,17,113
37500,4,14,12,100
48100,3,16,9,97
96200,7,18,8,125
42300,6,15,12,106
50000,6,15,12,101
57500,14,12,9,91
57700,15,12,8,86
31000,13,12,9,110
132200,12,14,12,92
55100,18,10,9,85
88100,7,17,8,120
42700,8,12,9,107
57600,2,16,9,116
67300,6,16,12,121
57700,5,16,12,112
77000,7,12,11,100
50000,8,12,12,112
39100,6,16,12,108
81000,16,12,10,90
86400,2,17,12,127
70000,12,10,8,86
51000,7,12,12,113
61500,15,13,12,111
76100,9,14,8,113
44500,2,16,12,111
75000,2,16,12,112
70000,2,16,12,114
60800,11,12,12,111
45000,5,13,8,106
50000,13,14,12,79
36500,8,12,12,98
81300,8,12,12,105
52400,11,12,10,105
81500,9,13,12,118
75000,10,12,12,100
112500,14,12,12,90
62500,10,12,9,95
71500,5,14,12,112
59100,13,12,12,96
40400,4,17,12,127
67500,10,12,12,120
44400,7,12,12,123
70000,7,12,12,98
32500,8,12,12,114
66800,7,13,16,103
240400,7,18,16,121
75800,3,16,14,117
98600,12,16,12,90
57700,7,12,12,125
28600,6,17,12,104
23100,8,14,16,106
61500,7,15,10,122
70000,4,15,10,120
71400,9,18,7,112
86800,4,18,9,109
91700,7,16,10,128
106500,9,12,12,97
40000,11,12,12,96
64000,9,12,12,103
64100,4,17,12,127
81700,6,12,12,97
97500,4,17,9,120
75000,11,12,7,78
46300,3,15,8,118
40100,9,12,9,89
119200,4,17,6,122
62500,6,14,6,98
71400,8,13,12,101
55300,12,12,7,112
57900,16,12,2,88
192300,9,18,12,136
80600,4,16,10,124
34400,11,12,6,96
96200,14,12,14,97
83700,10,18,10,107
141000,6,16,10,102
48000,7,12,12,115
60000,6,12,8,94
41700,5,14,12,92
30000,3,16,13,116
72100,14,12,6,101
73800,14,10,7,106
80500,14,12,9,88
40000,14,10,8,59
96200,5,18,16,126
81700,3,18,16,126
72100,6,18,12,105
91300,0,18,16,123
37900,4,17,12,119
35000,6,14,12,108
69400,16,11,8,93
101400,14,12,12,82
113600,10,18,16,123
170900,6,18,16,134
52900,8,12,8,84
67300,9,17,16,101
101000,5,17,13,125
84600,4,18,12,117
71000,10,11,12,98
82000,4,16,13,118
50000,4,15,10,129
104900,9,16,12,96
120200,5,18,12,124
64800,6,16,10,122
87500,11,13,12,85
54800,2,17,12,112
224400,13,15,8,111
144200,13,12,8,90
126200,9,18,16,101
60000,6,12,9,100
30000,9,11,10,95
53800,2,16,12,120
84600,15,12,12,101
100000,10,12,8,90
56100,4,16,15,122
28500,2,18,18,140
43700,5,16,12,106
32500,6,13,12,93
58000,6,16,12,119
58800,4,16,12,95
80100,5,18,12,115
31200,5,14,10,119
25000,11,12,11,67
50000,6,15,11,97
75000,15,12,12,111
34300,12,13,11,101
25000,7,15,11,112
70000,2,16,10,107
40000,7,12,8,93
55500,4,17,12,122
69900,7,15,12,106
121600,8,18,10,127
61500,7,16,12,113
74500,5,14,12,115
64700,1,18,10,118
74500,7,12,12,106
81500,3,16,12,118
86500,9,16,10,126
54200,10,12,8,95
36500,8,13,12,107
41700,8,10,12,100
65700,5,16,12,102
52900,5,15,12,113
85100,6,17,12,96
66300,7,12,9,106
88900,4,18,12,111
86500,5,17,12,113
23100,2,18,12,138
80200,14,12,9,110
53300,8,13,12,105
77500,4,15,14,85
101400,6,16,12,117
64100,8,18,16,126
33300,2,16,10,125
52800,2,18,12,125
115400,12,16,12,89
81700,1,18,11,125
69200,5,18,12,129
98900,11,16,8,118
44700,9,16,12,114
100200,10,18,12,121
124100,10,18,12,115
92100,12,14,12,120
57100,10,12,8,85
52500,13,12,11,109
115400,10,12,12,117
63500,4,14,12,104
38800,7,13,12,109
68800,8,12,10,105
104400,13,15,8,115
50000,7,12,12,89
78100,16,12,12,85
57700,7,13,11,102
52500,6,13,11,109
38500,5,17,12,107
62500,6,16,11,103
47500,7,13,12,83
65900,5,14,12,112
52400,5,14,11,106
62500,8,12,10,101
101000,9,16,12,105
60100,8,12,12,116
42600,10,12,7,90
106000,12,12,11,91
41400,8,12,11,128
49200,12,12,7,110
32500,9,12,7,93
27500,10,12,7,75
29100,7,12,12,94
48800,6,14,12,112
33700,4,14,12,121
72500,9,12,12,100
44000,6,13,12,109
64100,5,16,8,122
37500,10,12,11,102
92500,9,14,8,122
106500,15,12,10,105
63800,10,12,10,103
73900,14,12,9,113
49300,8,12,8,104
62900,8,16,9,124
40900,9,13,12,110
74500,10,12,12,104
54900,11,12,12,95
32600,3,15,12,95
87500,8,12,12,103
63900,7,12,12,116
50400,9,14,12,95
31300,2,17,12,101
72100,6,16,18,120
78500,9,12,8,102
54600,16,12,12,105
82800,7,12,8,103
15900,7,12,10,94
72100,9,13,12,102
55300,3,16,16,112
54200,6,14,6,101
50900,2,16,12,121
38500,2,16,12,105
144200,14,12,8,96
87900,10,16,14,128
86300,10,12,9,110
74000,9,12,12,92
45800,8,15,10,126
45000,16,12,9,98
74400,13,14,12,122
88900,10,16,11,109
69200,8,18,12,125
60400,9,18,12,119
62500,6,18,14,97
74600,13,14,12,103
72600,9,18,16,95
56000,12,12,10,99
42400,8,12,10,106
40000,8,12,12,117
25000,6,14,12,112
64600,7,13,12,136
100000,9,12,8,110
52800,10,12,13,111
48100,8,12,13,115
85000,15,12,12,90
51200,11,12,8,106
24000,13,12,12,95
55700,10,12,12,115
50000,6,15,12,106
35000,9,10,8,91
58400,8,12,8,114
51500,7,13,12,92
28000,3,16,12,111
30000,8,12,12,96
63500,4,17,13,119
34200,7,13,13,85
50500,4,16,12,98
35600,5,13,12,114
74000,10,13,16,108
27600,8,15,12,121
35000,11,12,8,107
75000,10,15,12,105
69200,11,16,9,105
14700,16,12,14,88
28000,8,12,10,96
76900,8,18,7,105
51700,6,14,14,100
40000,4,16,14,116
37500,7,12,10,86
59600,13,12,10,88
33800,7,16,12,112
48100,2,18,14,125
76900,7,16,12,117
72100,4,16,12,110
100000,10,13,9,104
62500,10,14,12,101
81700,4,16,11,99
41100,4,14,12,117
19200,16,10,9,86
92400,12,16,10,69
24000,5,15,16,105
62500,6,13,12,104
50300,10,12,11,109
46200,6,16,8,85
47600,3,16,11,114
50000,5,15,13,99
70700,13,15,12,119
36500,6,15,12,112
46200,1,18,12,107
102600,9,18,12,117
37500,5,18,16,125
153800,10,18,16,112
92300,9,18,14,106
56800,7,13,12,104
60000,5,14,12,89
72100,6,15,12,116
71200,7,14,8,123
80800,7,16,8,118
92500,10,11,12,106
120000,12,12,12,103
58100,13,14,8,114
68600,11,17,8,105
100000,8,18,8,84
69000,10,12,11,89
50000,10,12,16,81
75000,14,13,12,118
91300,6,17,16,91
57700,2,16,12,113
60100,8,12,12,121
57700,13,12,12,102
67700,14,12,6,104
47300,3,18,10,106
62000,11,15,12,108
37800,2,16,12,108
24300,3,16,13,121
75000,8,12,12,87
44100,6,18,14,107
68800,9,14,14,112
50100,1,18,14,116
40000,11,12,12,115
98100,8,12,12,107
64900,10,14,12,117
70700,6,16,11,97
104300,11,12,12,96
57500,8,13,6,91
86500,6,14,6,97
71300,10,12,8,90
67300,5,16,8,112
66200,7,12,8,97
54300,9,14,8,120
52500,6,13,12,109
50000,16,12,9,99
24000,10,10,8,99
40400,9,12,11,97
45000,7,12,11,95
96200,10,12,6,80
75000,7,14,8,126
69200,11,17,12,109
71000,12,11,11,86
83300,9,12,12,112
30800,8,12,12,98
62500,7,16,12,119
67300,3,16,12,102
40000,10,17,10,128
40900,10,17,12,113
55900,10,18,9,105
102600,4,17,18,124
120200,4,14,13,94
32900,2,17,12,117
48100,3,18,14,116
128200,12,16,12,112
44400,3,18,9,105
48100,6,16,9,87
46700,6,12,12,108
28600,6,15,12,89
57700,9,18,12,119
72100,9,14,12,97
46200,7,12,8,89
20000,6,12,12,131
76900,6,16,16,85
77500,4,17,16,132
64100,2,16,16,114
105500,13,14,10,98
67600,9,16,12,110
96200,7,17,12,118
40000,9,13,12,90
67300,5,16,12,108
144200,10,18,11,112
52900,8,18,10,100
70000,7,14,11,84
49400,1,18,10,97
50000,6,12,8,113
71700,9,13,12,105
57500,11,12,10,88
35000,7,12,10,74
64300,7,16,12,115
67900,7,15,12,91
53400,9,12,9,103
52400,9,16,10,102
66700,6,16,10,98
31100,3,18,12,82
66000,11,14,12,112
69200,9,16,9,108
57700,7,15,7,90
29200,5,16,8,111
75000,7,13,11,96
120200,11,16,16,127
160300,12,15,8,97
76900,12,14,12,120
51300,9,16,16,101
80500,13,12,8,100
96200,11,17,8,99
67500,7,12,16,104
39800,5,13,8,116
85500,13,14,12,120
69300,8,11,9,95
34500,8,13,8,99
46900,7,16,16,122
30000,4,16,12,106
67300,1,18,9,101
80800,11,16,6,104
72700,10,13,12,99
142500,11,12,12,101
76100,10,12,5,110
60000,8,12,5,94
111100,10,16,15,111
76300,11,16,17,120
65000,14,12,8,108
115500,7,14,16,111
55500,11,12,11,103
100000,9,11,11,97
86400,13,12,11,106
61300,13,13,6,109
81800,7,13,10,79
30000,9,10,12,62
70200,8,16,9,110
132200,12,16,12,117
38000,9,12,12,72
66300,17,10,11,72
60000,17,10,11,88
103400,8,18,12,123
107900,5,14,12,91
40000,0,18,12,98
64100,11,16,12,119
62000,14,12,8,87
48100,7,17,11,121
54500,8,12,12,112
78600,6,14,12,113
48500,1,18,12,125
72200,14,14,11,121
69500,7,15,12,128
79300,11,15,12,103
192300,11,16,16,99
79300,12,15,12,101
65400,12,14,8,109
51300,9,12,12,73
38400,9,14,12,88
50000,5,16,16,116
60100,4,15,11,137
43800,9,12,12,105
50000,7,12,12,98
126400,9,18,18,122
74700,6,14,14,104
51300,7,14,12,78
67200,7,16,12,93
22000,10,13,12,101
120200,9,18,12,134
66700,12,12,12,85
44400,4,15,12,104
54300,7,12,12,104
50000,9,12,8,93
35000,11,11,5,94
72600,15,12,8,109
53600,14,13,11,119
53200,7,13,12,98
85000,8,18,12,112
47400,4,16,8,104
65600,7,13,10,96
46200,5,14,11,102
70200,7,13,8,122
52400,7,12,8,107
57700,14,12,12,97
42300,8,18,12,115
64000,7,15,12,103
110100,7,16,14,106
64900,4,16,14,96
45000,8,12,8,114
69800,10,11,9,86
55600,6,16,13,110
37500,2,17,13,132
67300,7,15,12,126
30800,11,13,8,102
58500,16,12,12,87
78100,6,12,13,89
65600,9,12,8,106
42300,10,12,5,100
128200,6,16,12,98
96200,7,12,12,97
80000,12,12,16,111
75000,15,12,12,100
64700,5,18,12,110
93800,11,12,12,114
53700,5,17,12,135
29000,3,15,16,121
19200,11,12,8,95
81300,6,18,13,98
72700,11,12,12,90
112500,6,12,12,116
70500,9,11,9,89
33700,6,15,12,105
83300,5,17,12,117
19200,3,17,12,75
73000,8,12,12,87
54200,10,10,11,74
82300,10,12,11,91
43800,8,12,11,90
42700,2,16,12,112
34000,12,12,12,90
48100,15,13,11,130
81700,10,16,12,108
50000,10,12,12,86
44700,4,16,11,125
21700,4,15,11,94
35200,3,15,10,109
72100,11,12,10,98
65400,6,17,12,114
80300,4,16,16,125
57000,9,12,12,100
60000,3,16,12,104
45000,7,13,10,112
44500,7,13,2,100
59000,8,15,11,104
72100,5,14,12,97
69300,14,12,8,120
52900,7,13,8,134
47000,15,9,8,92
48100,4,16,13,129
46200,3,16,13,122
86500,12,14,12,118
71300,8,16,12,101
74000,6,12,12,107
81700,8,14,10,92
67700,16,12,12,92
79700,7,16,12,121
76900,5,13,17,102
46200,3,16,16,118
80000,13,13,7,92
67300,4,17,12,108
91100,14,12,12,119
38500,2,16,12,106
43600,6,12,11,98
52600,7,12,8,109
54200,3,16,15,120
76900,9,13,16,127
71100,3,18,12,101
34600,10,18,8,108
78700,14,12,8,91
45500,6,14,12,118
46000,2,16,12,110
27700,7,13,14,119
80800,11,17,12,103
62400,7,14,14,103
69700,8,12,12,104
37800,6,14,12,108
47300,6,12,12,118
42500,6,12,12,98
64900,2,16,12,120
49100,4,15,15,144
50000,8,12,7,100
37000,7,14,10,86
50600,6,18,8,122
61900,9,12,13,98
36100,12,12,13,101
58800,10,12,8,117
35000,6,12,8,119
48400,14,12,12,105
83500,17,11,9,104
38500,5,17,12,111
45000,8,11,8,96
49100,6,16,8,94
83100,8,18,12,101
43400,12,12,8,83
70000,8,12,8,112
54200,10,10,8,93
39500,16,12,9,105
118700,7,12,15,105
50100,7,12,10,88
33600,2,16,13,122
56500,14,12,8,96
96400,11,17,12,123
80000,10,12,12,104
60900,12,12,11,108
67000,3,16,12,116
44500,8,11,7,92
48500,6,13,12,102
71000,8,18,16,109
50000,8,13,12,97
45700,4,16,12,101
41000,9,12,11,98
48600,9,12,8,96
96200,7,18,13,122
35900,2,16,12,114
33000,6,12,12,100
62500,10,12,10,104
49500,8,12,8,111
65300,11,12,12,110
72200,9,12,12,87
70400,7,12,12,103
62500,13,12,12,95
62200,5,18,15,116
42700,5,15,15,109
65300,11,12,12,104
64300,12,12,12,104
57500,16,12,12,110
66400,0,18,16,116
55500,13,13,13,94
64200,7,15,16,115
66700,8,14,8,123
132000,4,18,13,113
78100,3,16,12,106
81700,5,14,12,114
52000,10,12,6,95
57700,9,12,6,113
62500,6,16,12,111
47000,6,14,12,100
62800,8,13,12,95
55400,14,12,8,100
64100,3,16,12,130
51300,15,13,12,98
60400,9,12,12,103
70000,14,13,15,108
102100,15,12,12,101
71400,13,12,12,90
50000,10,12,8,79
58300,10,12,8,94
70600,13,12,8,115
52000,8,16,12,118
68400,6,16,14,114
27600,6,13,11,84
70700,15,13,12,92
78800,16,12,11,107
131900,7,18,12,137
40400,8,14,8,129
30000,3,16,12,101
67300,8,12,12,98
72200,16,12,8,108
76900,4,16,2,114
76000,8,16,12,110
43400,6,18,12,111
119200,15,13,8,99
46200,8,17,4,113
37000,6,12,12,101
47500,12,12,12,99
43500,10,12,12,101
33200,8,12,12,75
64000,9,16,12,102
50500,16,12,6,91
62500,7,16,12,113
46200,13,12,8,120
81700,4,17,16,134
43300,1,17,13,105
64100,5,14,12,98
22500,4,15,12,107
72100,13,15,14,110
72200,4,16,12,101
81700,7,16,16,107
66400,5,16,13,115
89700,4,18,12,121
53900,10,15,12,134
72100,9,15,12,105
92500,5,13,12,97
50800,10,12,10,108
92900,10,16,10,113
52000,2,16,12,137
94000,13,12,12,110
76600,3,16,12,120
70700,7,15,12,105
68400,12,12,10,121
41700,4,16,12,113
60000,5,18,12,113
68200,4,15,13,101
91800,7,18,9,104
116700,10,12,12,92
76500,12,11,10,80
96200,8,12,10,117
30000,3,18,12,134
65800,2,16,12,126
46200,8,12,8,95
72100,6,12,8,102
90900,14,12,10,112
92500,10,12,8,70
75000,10,12,6,83
56300,10,12,6,84
62500,6,14,10,104
138000,9,12,12,109
47000,5,14,12,111
78800,10,12,12,97
23000,3,16,12,120
31500,15,12,12,94
35500,6,17,5,116
64900,7,13,12,101
60000,10,11,15,110
20600,7,13,14,131
48100,9,12,11,122
48500,5,13,10,88
75900,5,18,12,111
99500,8,12,12,90
31400,3,16,12,120
78300,11,12,8,108
65000,13,13,12,99
47500,13,11,12,80
72600,15,11,10,93
72100,6,16,12,96
60000,8,12,13,108
69200,4,15,12,110
42300,7,15,11,118
57700,12,16,18,113
63500,3,18,10,112
41000,9,12,12,115
37000,2,16,10,117
78900,4,16,10,119
125100,10,12,12,94
80800,8,16,13,109
30800,8,16,12,107
67300,8,16,6,121
45000,10,12,9,121
33300,8,12,7,89
91300,14,12,12,101
12800,10,11,9,68
39600,5,16,12,118
47500,9,13,12,102
30000,2,16,12,102
63000,14,12,9,109
48500,15,12,4,94
54900,12,12,6,115
37200,7,12,6,101
64100,16,12,8,92
51900,11,12,8,89
38500,11,9,11,71
45000,7,16,8,97
31500,8,12,12,116
73100,9,14,12,130
32500,14,12,12,102
61600,6,16,12,119
34600,9,15,10,104
47100,9,13,13,91
30000,9,12,8,93
26700,10,12,8,95
23000,10,12,10,74
43200,4,14,10,115
53100,8,12,12,89
110000,9,12,11,92
58800,10,12,12,104
84100,6,18,15,109
64100,3,15,10,124
35000,6,15,12,94
61800,11,16,12,120
40000,7,12,10,111
70000,16,11,8,96
31100,6,15,12,103
24300,4,14,12,110
